fullname,address
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1392 имени Д.В.Рябинкина»,"142793 Москва, поселение Десёновское, поселок Ватутинки-1"
"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 937 имени Героя Российской Федерации А.В. Перова""","115569 Москва, улица Маршала Захарова, дом 25, корпус 2"
Государственное бюджетное общеобразовательное учреждение города Москвы Гимназия № 2072,"111394 Москва, Утренняя улица, дом 12"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1716 «Эврика-огонек»,"109451 Москва, улица Верхние Поля, дом 40, корпус 2"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1861 «Загорье»»,"115598 Москва, Загорьевский проезд, дом 13"
Государственное бюджетное общеобразовательное учреждение города Москвы «Гмназия № 1596»,"119633 Москва, Приречная улица, дом 1"
Муниципальное автономное общеобразовательное учреждение «Гимназия г. Троицка»,"142190 Москва, поселение Троицк, город Троицк, Октябрьский проспект, дом 6"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1391»,"143381 Москва, поселение Киевский, рабочий поселок Киевский, -, дом 7А"
Государственное бюджетное общеобразовательное учреждение города Москвы «Инженерно-техническая школа имени дважды Героя Советского Союза П.Р.Поповича»,"125319 Москва, улица 8 Марта, дом 17"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1394 «Воспитательно- образовательный центр «На набережной»,"109144 Москва, Батайский проезд, дом 47"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2075»,"142150 Москва, поселение Краснопахорское, село Красная Пахра, -"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 656 имени А.С.Макаренко»,"Адрес: 127474 Москва, Бескудниковский бульвар, дом 29"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1959 «Дети мира»,"109469, г. Москва, Перервинский бульвар, д.16, корп.1"
Федеральное государственное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 91»,"121069, г. Москва, ул. Поварская, д. 14"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 460 имени дважды Героя Советского Союза А.А.Головачёва»,"109559, г. Москва, Белореченская ул., д.11"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1465 имени Адмирала Н.Г.Кузнецова»,"121059, г. Москва, ул.Брянская, д.10"
Негосударственное образовательное учреждение школа «Ника»,"117303, г. Москва, ул. Малая Юшуньская, 4"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка и музыки № 368 «Лосиный остров»,"107065, г. Москва, ул.Уссурийская, д.12"
