id,result,year,school_id,subject_id
62142,51,2015,9634,8
62143,44.2,2015,9634,4
62144,81.89,2015,9635,2
62145,52.31,2015,9635,1
62146,61.68,2015,9635,8
62147,68.25,2015,9635,5
62148,56.13,2015,9635,7
62149,72.43,2015,9635,6
62150,70.5,2015,9635,11
62151,72.36,2015,9635,3
62152,73.1,2015,9635,9
62153,57.3,2015,9635,4
62154,64.14,2015,9636,2
62155,33.38,2015,9636,1
62156,61,2015,9636,8
62157,42.25,2015,9636,7
62158,54.6,2015,9636,9
62159,48.6,2015,9636,4
62160,72.65,2015,9637,2
62161,67.25,2015,9637,11
62162,48.73,2015,9637,1
62163,52,2015,9637,8
62164,51,2015,9637,9
62165,75.49,2015,9639,2
62166,57,2015,9639,1
62167,60.95,2015,9639,8
62168,67.14,2015,9639,7
62169,56.33,2015,9639,9
62170,73.89,2015,9639,11
62171,79.75,2015,9639,3
62172,63.43,2015,9639,4
62173,71.97,2015,9640,2
62174,54.63,2015,9640,1
62175,62.66,2015,9640,8
62176,61.77,2015,9640,7
62177,66.63,2015,9640,6
62178,56.67,2015,9640,11
62179,58.28,2015,9640,9
62180,60.08,2015,9640,4
62181,82.5,2015,9641,2
62182,53.17,2015,9641,1
62183,63.06,2015,9641,8
62184,71.5,2015,9641,5
62185,71.33,2015,9641,3
62186,64.8,2015,9641,4
62187,67.9,2015,9643,2
62188,41.43,2015,9643,1
62189,56.39,2015,9643,8
62190,44.54,2015,9643,7
62191,47,2015,9643,9
62192,68.11,2015,9643,11
62193,58.17,2015,9643,4
62194,68.38,2015,9644,2
62195,45.64,2015,9644,1
62196,55.95,2015,9644,8
62197,54.63,2015,9644,7
62198,75.91,2015,9645,2
62199,52,2015,9645,1
62200,58.5,2015,9645,8
62201,58.79,2015,9645,7
62202,64.5,2015,9645,9
62203,58.75,2015,9645,11
62204,85.11,2015,9646,2
62205,56.47,2015,9646,1
62206,63.17,2015,9646,8
62207,68.67,2015,9646,5
62208,55.38,2015,9646,7
62209,75.75,2015,9646,6
62210,66.23,2015,9646,11
62211,78.57,2015,9646,3
62212,81.25,2015,9646,9
62213,55.63,2015,9646,4
62214,77.15,2015,9647,2
62215,57.55,2015,9647,1
62216,61.42,2015,9647,8
62217,62,2015,9647,5
62218,64.39,2015,9647,7
62219,67.42,2015,9647,6
62220,56.81,2015,9647,11
62221,74.93,2015,9647,3
62222,69.95,2015,9647,9
62223,64.57,2015,9647,4
62224,67.07,2015,9648,2
62225,43.9,2015,9648,1
62226,55.88,2015,9648,8
62227,55.56,2015,9648,7
62228,81.45,2015,9649,2
62229,68.75,2015,9649,1
62230,61.1,2015,9649,8
62231,82.36,2015,9649,7
62232,72.4,2015,9649,6
62233,72.18,2015,9649,11
62234,68.2,2015,9649,3
62235,71,2015,9649,9
62236,78.9,2015,9650,2
62237,65.58,2015,9650,1
62238,65.55,2015,9650,8
62239,60.5,2015,9650,7
62240,70.43,2015,9650,6
62241,69,2015,9650,11
62242,62.38,2015,9650,9
62243,62,2015,9650,4
62244,71.58,2015,9651,2
62245,47.27,2015,9651,1
62246,56.16,2015,9651,8
62247,57,2015,9651,7
62248,68.25,2015,9651,3
62249,49,2015,9651,4
62250,73.42,2015,9652,2
62251,44.17,2015,9652,1
62252,62.23,2015,9652,8
62253,66,2015,9652,7
62254,71,2015,9652,6
62255,63.18,2015,9652,9
62256,63.33,2015,9652,4
62257,58.3,2015,10043,2
62258,28.7,2015,10043,1
62259,65.3,2015,10044,2
62260,52.4,2015,10044,1
62261,72.9,2015,10045,2
62262,48.5,2015,10045,1
62263,73.4,2015,10046,2
62264,43.5,2015,10046,1
62265,73.9,2015,10047,2
62266,52.9,2015,10047,1
62267,75.8,2015,10048,2
62268,38.6,2015,10048,1
62269,66.6,2015,10049,2
62270,38.4,2015,10049,1
62271,66.5,2015,10051,2
62272,33.5,2015,10051,1
62273,80.3,2015,10052,2
62274,68,2015,10052,1
62275,69,2015,10053,2
62276,38.4,2015,10053,1
62277,62.3,2015,10054,2
62278,32.6,2015,10054,1
62279,77.4,2015,10055,2
62280,43.7,2015,10055,1
62281,65.3,2015,10056,2
62282,35.8,2015,10056,1
62283,72.3,2015,10057,2
62284,50.1,2015,10057,1
62285,77.3,2015,10058,2
62286,51.1,2015,10058,1
62287,74.6,2015,10059,2
62288,44,2015,10059,1
62289,66.3,2015,10061,2
62290,35.8,2015,10061,1
62291,79.3,2015,10065,2
62292,46.9,2015,10065,1
62293,62.2,2015,10066,2
62294,31,2015,10066,1
62295,59.8,2015,10068,2
62296,35.6,2015,10068,1
62297,80.6,2015,10069,2
62298,56.8,2015,10069,1
62299,74.9,2015,10070,2
62300,63.7,2015,10070,1
62301,57.2,2015,10071,2
