LegalAddress,FullName,ShortName
"124482, г. Москва, Зеленоград, корп. 314",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 609»,ГБОУ школа № 609
"111402, г. Москва, аллея Жемчуговой, 7",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1028»,ГБОУ «Школа № 1028»
"127591, г. Москва, ул. Дубнинская, д. 46, кор. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования № 1678 «Восточное Дегунино»,ГБОУ ЦО № 1678 «Восточное Дегунино»
"127490, г. Москва, ул. Пестеля, д.5",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1554»,ГБОУ гимназия № 1554
"129301, г. Москва, ул. Ярославская, д. 27",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 293 имени А.Т. Твардовского»,ГБОУ школа № 293
"117519, г. Москва, улица Красного Маяка, 3 Г",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 879»,ГБОУ школа № 879
"119146, г. Москва, 2-ая Фрунзенская ул., д.7А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 171»,ГБОУ школа № 171
"129626, г. Москва, ул.Павла Корчагина, д.18",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1503»,ГБОУ гимназия № 1503
"119620, г. Москва, Солнцевский пр-т, д.12А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1002»,ГБОУ школа № 1002
"125581, г. Москва, ул. Флотская, д. 11",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 648»,ГБОУ школа № 648
"119334, г. Москва, Ленинский проспект, д. 34А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 192»,ГБОУ школа № 192
"109439, г. Москва, ул. Академика Скрябина, д. 36, корп. 3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2111 «Новая волна»,ГБОУ Школа № 2111
"125565, г. Москва, Конаковский проезд, д.5",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1315»,ГБОУ школа № 1315
"119415, г. Москва, пр-т Вернадского, д.57",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 323»,ГБОУ школа № 323
"129323, г. Москва, ул. Седова, д. 4, корп. 1",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия «Свиблово»,ГБОУ Гимназия «Свиблово»
"127521, г. Москва, ул. Октябрьская, д. 81",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия Марьина Роща имени В.Ф. Орлова»,ГБОУ гимназия Марьина Роща имени В.Ф. Орлова
"105484, г. Москва, Сиреневый бульвар, 58А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 734 «Школа самоопределения»,ГБОУ школа № 734
"111033, г. Москва, Танковый проезд, д. 3А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 415»,ГБОУ школа № 415
"101000, г. Москва, Милютинский пер., д.18, стр.2",Государственное бюджетное общеобразовательное учреждение города Москвы «Пушкинский лицей № 1500»,ГБОУ Пушкинский лицей № 1500
"119297, г. Москва, ул.Родниковая, д.20, корп.1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1436»,ГБОУ школа № 1436
"119633, г. Москва, ул.Приречная, д.1",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1596»,ГБОУ гимназия № 1596
"129337, г. Москва, ул.Федоскинская, д.4",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1374»,ГБОУ школа № 1374
"125599, г. Москва, ул. Бусиновская Горка, д. 7, корп. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1125 имени Я.Н. Федоренко»,ГБОУ школа № 1125
"117393, г. Москва, ул. Гарибальди, дом 28, корпус 3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 121»,ГБОУ школа № 121
"119331, г. Москва, улица Крупской, дом 17",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики и информатики № 7»,ГБОУ школа № 7
"117556, г. Москва, Варшавское ш., д. 67",Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 504»,ГБОУ лицей № 504
"121069, г. Москва, Столовый пер., д.10/2, стр.1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2123 имени Мигеля Эрнандеса»,ГБОУ школа № 2123 им. М. Эрнандеса
"111141, г. Москва, ул. Перовская, д. 44а",Государственное бюджетное общеобразовательное учреждение города Москвы «Московский культурологический лицей № 1310»,ГБОУ МКЛ № 1310
"115404, г. Москва, ул. Ряжская, дом 11",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 902 «Диалог»,ГБОУ школа № 902 «Диалог»
"121601, г. Москва, Филевский бульвар, д.3, стр.1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1114»,ГБОУ школа № 1114
"124460, г. Москва, Зеленоград, корп.1115",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 852»,ГБОУ школа № 852
"129343, г. Москва, ул. Амундсена, д.14, корп.1",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр детского творчества «Свиблово»,ГБОУДО ЦДТ «Свиблово»
"119602, г. Москва, Мичуринский просп., Олимпийская деревня, д.23 и д.23, стр.1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 843»,ГБОУ школа № 843
"117574, г. Москва, ул. Голубинская, д. 5, корп. 4",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2103»,ГБОУ школа № 2103
"125252, г. Москва, ул.Новопесчаная, д.15",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики № 1384 имени А.А. Леманского»,ГБОУ школа № 1384 имени А.А. Леманского
